Image,Label
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00001.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00002.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00003.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00004.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00005.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00006.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00007.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00008.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00009.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00010.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00011.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00012.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00013.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00014.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00015.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00016.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00017.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00018.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00019.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00020.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00021.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00022.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00023.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00024.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00025.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00026.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00027.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00028.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00029.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00030.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00031.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00032.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00033.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00034.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00035.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00036.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00037.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00038.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00039.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00040.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00041.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00042.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00043.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00044.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00045.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00046.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00047.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00048.png,Black Sea Sprat
